LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
12.4,-41.0,2816.797952976287, , ,27.50419235229492,-0.5588607788085938,28.02396583557129,,,,,,25.46,0.394,1998,9,17,260,1,2816.797952976287,0.0,2816.797952976287,0.0,2816.797952976287,0.0,1998-09-17 21:00:00,0,puerto_rico
12.5,-42.0,2709.557444102,70,984,27.596450805664062,-0.5269889831542969,28.086944580078125,,,,,,25.46,0.394,1998,9,18,261,1,2709.557444102,0.0,2709.557444102,0.0,2709.557444102,0.0,1998-09-18 00:00:00,0,puerto_rico
12.6,-43.0,2602.4252897675005, , ,27.680967330932617,-0.4384498596191406,28.14310646057129,,,,,,25.46,0.394,1998,9,18,261,1,2602.4252897675005,0.0,2602.4252897675005,0.0,2602.4252897675005,0.0,1998-09-18 03:00:00,0,puerto_rico
12.8,-43.9,2502.542582970423,80,977,27.67258071899414,-0.423807144165039,28.201839447021484,,,,,,25.46,0.394,1998,9,18,261,1,2502.542582970423,0.0,2502.542582970423,0.0,2502.542582970423,0.0,1998-09-18 06:00:00,0,puerto_rico
12.9,-44.8,2405.959029733777, , ,27.788063049316406,-0.3799552917480469,28.27898406982422,,,,,,25.46,0.394,1998,9,18,261,1,2405.959029733777,0.0,2405.959029733777,0.0,2405.959029733777,0.0,1998-09-18 09:00:00,0,puerto_rico
13.1,-45.7,2306.2066375077206,85,973,27.655805587768555,-0.4977569580078125,28.07314109802246,,,,,,25.46,0.394,1998,9,18,261,1,2306.2066375077206,0.0,2306.2066375077206,0.0,2306.2066375077206,0.0,1998-09-18 12:00:00,0,puerto_rico
13.3,-46.6,2206.525811069149, , ,27.66354751586914,-0.4822559356689453,28.13593292236328,,,,,,25.46,0.394,1998,9,18,261,1,2206.525811069149,0.0,2206.525811069149,0.0,2206.525811069149,0.0,1998-09-18 15:00:00,0,puerto_rico
13.5,-47.4,2117.264076909965,90,970,27.85709571838379,-0.3396129608154297,28.13593292236328,,,,,,25.46,0.394,1998,9,18,261,1,2117.264076909965,0.0,2117.264076909965,0.0,2117.264076909965,0.0,1998-09-18 18:00:00,0,puerto_rico
13.7,-48.2,2028.065898096072, , ,27.914514541625977,-0.2815990447998047,28.213695526123047,,,,,,25.46,0.394,1998,9,18,261,1,2028.065898096072,0.0,2028.065898096072,0.0,2028.065898096072,0.0,1998-09-18 21:00:00,0,puerto_rico
13.9,-49.0,1938.9324086759136,90,970,27.890321731567383,-0.3197860717773437,28.281152725219727,,,,,,25.46,0.394,1998,9,19,262,1,1938.9324086759136,0.0,1938.9324086759136,0.0,1938.9324086759136,0.0,1998-09-19 00:00:00,0,puerto_rico
14.1,-49.8,1849.864755453876, , ,27.969999313354492,-0.2411537170410156,28.149938583374023,,,,,,25.46,0.394,1998,9,19,262,1,1849.864755453876,0.0,1849.864755453876,0.0,1849.864755453876,0.0,1998-09-19 03:00:00,0,puerto_rico
14.4,-50.6,1757.7394500352175,95,965,28.186450958251953,-0.0492172241210937,28.255735397338867,,,,,,25.46,0.394,1998,9,19,262,1,1757.7394500352175,0.0,1757.7394500352175,0.0,1757.7394500352175,0.0,1998-09-19 06:00:00,0,puerto_rico
14.6,-51.3,1679.1711173586204, , ,28.24386978149414,-0.0318889617919921,28.255735397338867,,,,,,25.46,0.394,1998,9,19,262,1,1679.1711173586204,0.0,1679.1711173586204,0.0,1679.1711173586204,0.0,1998-09-19 09:00:00,0,puerto_rico
14.9,-52.0,1597.6873094865448,110,954,28.20838737487793,-0.1049709320068359,28.34714126586914,,,,,,25.46,0.394,1998,9,19,262,1,1597.6873094865448,0.0,1597.6873094865448,0.0,1597.6873094865448,0.0,1998-09-19 12:00:00,0,puerto_rico
15.2,-52.7,1516.4347768891157, , ,28.04741859436035,-0.2833824157714844,28.323888778686523,,,,,,25.46,0.394,1998,9,19,262,1,1516.4347768891157,0.0,1516.4347768891157,0.0,1516.4347768891157,0.0,1998-09-19 15:00:00,0,puerto_rico
15.4,-53.5,1427.7967326142923,125,949,28.10354804992676,-0.2853164672851562,28.408533096313477,,,,,,25.46,0.394,1998,9,19,262,1,1427.7967326142923,0.0,1427.7967326142923,0.0,1427.7967326142923,0.0,1998-09-19 18:00:00,0,puerto_rico
