LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
21.2,-60.3,2088.758865593937, , ,28.09033203125,-0.2211894989013672,28.300844192504883,,,,,,26.91,-0.396,1992,8,20,233,1,2088.758865593937,0.0,2088.758865593937,0.0,73.80874452564571,5.0,1992-08-20 09:00:00,0,miami
21.7,-60.7,2032.7139064682915,40,1015,28.1473331451416,-0.1893672943115234,28.351343154907227,,,,,,26.91,-0.396,1992,8,20,233,1,2032.7139064682915,0.0,2032.7139064682915,0.0,73.80874452564571,5.0,1992-08-20 12:00:00,0,miami
22.1,-61.1,1980.6998832999432, , ,28.224666595458984,-0.1547050476074218,28.387022018432617,,,,,,26.91,-0.396,1992,8,20,233,1,1980.6998832999432,0.0,1980.6998832999432,0.0,73.80874452564571,5.0,1992-08-20 15:00:00,0,miami
22.5,-61.5,1929.373395322241,40,1014,28.357332229614254,-0.0528640747070312,28.4304256439209,,,,,,26.91,-0.396,1992,8,20,233,1,1929.373395322241,0.0,1929.373395322241,0.0,73.80874452564571,5.0,1992-08-20 18:00:00,0,miami
22.9,-61.9,1878.786883158643, , ,28.377666473388672,-0.0700340270996093,28.4304256439209,,,,,,26.91,-0.396,1992,8,20,233,1,1878.786883158643,0.0,1878.786883158643,0.0,73.80874452564571,5.0,1992-08-20 21:00:00,0,miami
23.2,-62.4,1821.41858810831,45,1014,28.396331787109375,-0.0936927795410156,28.491363525390625,,,,,,26.91,-0.396,1992,8,21,234,1,1821.41858810831,0.0,1821.41858810831,0.0,73.80874452564571,5.0,1992-08-21 00:00:00,0,miami
23.6,-62.9,1762.2478602060917, , ,28.350332260131836,-0.1925811767578125,28.544748306274418,,,,,,26.91,-0.396,1992,8,21,234,1,1762.2478602060917,0.0,1762.2478602060917,0.0,73.80874452564571,5.0,1992-08-21 03:00:00,0,miami
23.9,-63.3,1715.950940046194,45,1010,28.290666580200195,-0.2845649719238281,28.544748306274418,,,,,,26.91,-0.396,1992,8,21,234,1,1715.950940046194,0.0,1715.950940046194,0.0,73.80874452564571,5.0,1992-08-21 06:00:00,0,miami
24.2,-63.8,1660.1817433152578, , ,28.239999771118164,-0.366617202758789,28.62598419189453,,,,,,26.91,-0.396,1992,8,21,234,1,1660.1817433152578,0.0,1660.1817433152578,0.0,73.80874452564571,5.0,1992-08-21 09:00:00,0,miami
24.4,-64.2,1616.638978644714,50,1007,28.21733283996582,-0.4109439849853515,28.62598419189453,,,,,,26.91,-0.396,1992,8,21,234,1,1616.638978644714,0.0,1616.638978644714,0.0,73.80874452564571,5.0,1992-08-21 12:00:00,0,miami
24.6,-64.5,1583.3685836490758, , ,28.189998626708984,-0.4768829345703125,28.682470321655273,,,,,,26.91,-0.396,1992,8,21,234,1,1583.3685836490758,0.0,1583.3685836490758,0.0,73.80874452564571,5.0,1992-08-21 15:00:00,0,miami
24.8,-64.9,1540.367362417424,50,1004,28.115333557128903,-0.5769309997558594,28.682470321655273,,,,,,26.91,-0.396,1992,8,21,234,1,1540.367362417424,0.0,1540.367362417424,0.0,73.80874452564571,5.0,1992-08-21 18:00:00,0,miami
25.1,-65.4,1486.4450657542952, , ,28.073999404907227,-0.6597118377685547,28.72751235961914,,,,,,26.91,-0.396,1992,8,21,234,1,1486.4450657542952,0.0,1486.4450657542952,0.0,73.80874452564571,5.0,1992-08-21 21:00:00,0,miami
25.3,-65.9,1434.2165803138787,55,1000,28.062999725341797,-0.708160400390625,28.781200408935547,,,,,,26.91,-0.396,1992,8,22,235,1,1434.2165803138787,0.0,1434.2165803138787,0.0,73.80874452564571,5.0,1992-08-22 00:00:00,0,miami
25.5,-66.4,1382.3504962660274, , ,28.067333221435547,-0.7308940887451172,28.781200408935547,,,,,,26.91,-0.396,1992,8,22,235,1,1382.3504962660274,0.0,1382.3504962660274,0.0,73.80874452564571,5.0,1992-08-22 03:00:00,0,miami
25.6,-67.0,1321.5384020290278,65,994,28.088333129882812,-0.7481307983398438,28.835420608520508,,,,,,26.91,-0.396,1992,8,22,235,1,1321.5384020290278,0.0,1321.5384020290278,0.0,73.80874452564571,5.0,1992-08-22 06:00:00,0,miami
25.7,-67.6,1260.8490382041266, , ,28.184999465942383,-0.6733627319335938,28.8771915435791,,,,,,26.91,-0.396,1992,8,22,235,1,1260.8490382041266,0.0,1260.8490382041266,0.0,73.80874452564571,5.0,1992-08-22 09:00:00,0,miami
25.8,-68.3,1190.2927770962829,80,981,28.163000106811523,-0.7185535430908203,28.8771915435791,,,,,,26.91,-0.396,1992,8,22,235,1,1190.2927770962829,0.0,1190.2927770962829,0.0,73.80874452564571,5.0,1992-08-22 12:00:00,0,miami
25.8,-69.0,1120.2719529748988, , ,28.117332458496097,-0.7865924835205078,28.899473190307617,,,,,,26.91,-0.396,1992,8,22,235,1,1120.2719529748988,0.0,1120.2719529748988,0.0,73.80874452564571,5.0,1992-08-22 15:00:00,0,miami
25.7,-69.7,1050.700195964945,95,969,28.180665969848633,-0.7364253997802734,28.928396224975582,,,,,,26.91,-0.396,1992,8,22,235,1,1050.700195964945,0.0,1050.700195964945,0.0,73.80874452564571,5.0,1992-08-22 18:00:00,0,miami
25.6,-70.4,981.188484435455, , ,28.262666702270508,-0.6761455535888672,28.928396224975582,,,,,,26.91,-0.396,1992,8,22,235,1,981.188484435455,0.0,981.188484435455,0.0,73.80874452564571,5.0,1992-08-22 21:00:00,0,miami
